2.124 0.000 0.000 -0.007 0.000 2.124 0.000 -0.007 0.000 0.000 2.124 -0.007
1.938 0.000 0.000 0.004 0.000 1.948 0.000 0.001 0.000 0.000 1.948 0.001
1.504 0.000 0.000 0.032 0.000 1.539 0.000 0.022 0.000 0.000 1.539 0.022
1.890 0.000 0.000 0.015 0.000 1.888 0.000 0.005 0.000 0.000 1.942 -0.001
2.471 0.000 0.000 -0.010 0.000 2.412 0.000 -0.020 0.000 0.000 2.547 -0.035
2.233 0.001 0.001 -0.025 -0.000 2.067 0.000 -0.018 0.000 0.000 2.198 -0.053
1.877 0.002 0.002 -0.049 -0.001 1.550 0.001 -0.016 0.000 0.000 1.674 -0.079
2.050 0.000 0.000 -0.020 -0.000 1.951 0.000 -0.010 0.000 0.000 1.989 -0.029
2.124 0.000 0.000 -0.007 0.000 2.124 0.000 -0.007 0.000 0.000 2.124 -0.007
1.938 0.000 0.000 0.004 0.000 1.948 0.000 0.001 0.000 0.000 1.948 0.001
1.504 0.000 0.000 0.032 0.000 1.539 0.000 0.022 0.000 0.000 1.539 0.022
1.890 0.000 0.000 0.015 0.000 1.888 0.000 0.005 0.000 0.000 1.942 -0.001
2.471 0.000 0.000 -0.010 0.000 2.412 0.000 -0.020 0.000 0.000 2.547 -0.035
2.233 0.001 0.001 -0.025 -0.000 2.067 0.000 -0.018 0.000 0.000 2.198 -0.053
1.877 0.002 0.002 -0.049 -0.001 1.550 0.001 -0.016 0.000 0.000 1.674 -0.079
2.050 0.000 0.000 -0.020 -0.000 1.951 0.000 -0.010 0.000 0.000 1.989 -0.029
1.667 0.032 0.030 0.060 0.032 1.667 0.030 0.060 0.033 0.033 1.654 0.070
1.543 0.032 0.030 0.067 0.032 1.550 0.030 0.065 0.033 0.033 1.537 0.076
1.253 0.032 0.030 0.086 0.032 1.277 0.030 0.079 0.033 0.033 1.264 0.089
1.511 0.032 0.030 0.075 0.032 1.510 0.030 0.068 0.033 0.033 1.533 0.074
1.898 0.032 0.030 0.058 0.032 1.859 0.030 0.051 0.033 0.033 1.936 0.051
1.740 0.033 0.030 0.048 0.032 1.629 0.030 0.052 0.033 0.033 1.703 0.039
1.502 0.033 0.031 0.032 0.031 1.284 0.031 0.054 0.033 0.033 1.354 0.022
1.617 0.032 0.030 0.051 0.032 1.552 0.030 0.058 0.033 0.033 1.564 0.055
1.514 0.043 0.040 0.082 0.043 1.514 0.040 0.082 0.043 0.043 1.497 0.095
1.411 0.043 0.040 0.088 0.043 1.417 0.040 0.087 0.043 0.043 1.400 0.100
1.170 0.043 0.040 0.104 0.043 1.190 0.040 0.098 0.043 0.043 1.172 0.112
1.385 0.043 0.040 0.094 0.043 1.384 0.040 0.089 0.043 0.043 1.396 0.099
1.707 0.043 0.040 0.080 0.043 1.674 0.040 0.075 0.043 0.043 1.732 0.080
1.575 0.043 0.040 0.072 0.043 1.483 0.040 0.076 0.043 0.043 1.538 0.070
1.377 0.044 0.041 0.059 0.042 1.195 0.041 0.077 0.043 0.043 1.247 0.055
1.473 0.043 0.040 0.075 0.043 1.419 0.040 0.080 0.043 0.043 1.422 0.083
1.526 0.059 0.059 0.036 0.060 1.525 0.059 0.037 0.060 0.059 1.525 0.037
1.433 0.059 0.059 0.042 0.060 1.437 0.059 0.041 0.060 0.059 1.437 0.041
