##################################################
# gridref.dat                                    #
# stores which artist deals with map grid areas. #
# These names must be the artist's user id       #
##################################################

# these names MUST!!!! be the artist's bugstar userid any questions see Alex !!!!!!!!!!

A1	GARY
A2	GARY
A3	GARY
A4	GARY
A5	WAYLAND
A6	WAYLAND
A7	WAYLAND
A8	STUARTM
A9	STUARTM
A10	STUARTM

B1	GARY
B2	GARY
B3	GARY
B4	GARY
B5	WAYLAND
B6	WAYLAND
B7	WAYLAND
B8	STUARTM
B9	STUARTM
B10	STUARTM

C1	STUARTM
C2	STUARTM
C3	STUARTM
C4	GARY
C5	WAYLAND
C6	WAYLAND
C7	STUARTM
C8	STUARTM
C9	STUARTM
C10	STUARTM

D1	STUARTM
D2	STUARTM
D3	STUARTM
D4	STUARTM
D5	STUARTM
D6	SCOTT
D7	STUARTM
D8	STUARTM
D9	STUARTM
D10	STUARTM

E1	STUARTM
E2	STUARTM
E3	STUARTM
E4	STUARTM
E5	SCOTT
E6	SCOTT
E7	STUARTM
E8	STUARTM
E9	STUARTM
E10	STUARTM

F1	STUARTM
F2	STUARTM
F3	STUARTM
F4	STUARTM
F5	SCOTT
F6	SCOTT
F7	SCOTT
F8	NIK
F9	NIK
F10	NIK

G1	ADAMC
G2	ADAMC
G3	ANDREWSO
G4	ANDREWSO
G5	SCOTT
G6	SCOTT
G7	NIK
G8	NIK
G9	JIMA
G10	JIMA

H1	ADAMC
H2	ADAMC
H3	ANDREWSO
H4	ANDREWSO
H5	SCOTT
H6	SCOTT
H7	SIMONL
H8	STEVEM
H9	STEVEM
H10	STEVEM

I1	ANDREWSO
I2	ANDREWSO
I3	ANDREWSO
I4	ANDREWSO
I5	SCOTT
I6	SCOTT
I7	SIMONL
I8	SIMONL	
I9	STEVEM
I10	STEVEM

J1	ANDREWSO
J2	ANDREWSO
J3	ANDREWSO
J4	ANDREWSO
J5	SCOTT
J6	SCOTT
J7	JIMA
J8	JIMA
J9	STEVEM
J10	STEVEM

# -eof-
