# SURFACE AUDIO INFORMATION
# -------------------------

# SURFACE NAME	name of the surface to configure

# CON			is concrete
# GRS			is grass
# SND			is sand
# GRV			is gravel
# WOD			is wood
# WTR			is water
# MTL			is metal
# LGS			is long grass
# TIL			is tile


# SURFACE NAME			CON	GRS	SND	GRV	WOD	WTR	MTL	LGS TIL
# ---------------------------------------------------------

DEFAULT					1	0	0	0	0	0	0	0	0
TARMAC					1	0	0	0	0	0	0	0	0
TARMAC_FUCKED			1	0	0	0	0	0	0	0	0
TARMAC_REALLYFUCKED		1	0	0	0	0	0	0	0	0
PAVEMENT				1	0	0	0	0	0	0	0	0
PAVEMENT_FUCKED			1	0	0	0	0	0	0	0	0
GRAVEL					0	0	0	1	0	0	0	0	0
FUCKED_CONCRETE			1	0	0	0	0	0	0	0	0
PAINTED_GROUND			1	0	0	0	0	0	0	0	0
GRASS_SHORT_LUSH		0	1	0	0	0	0	0	0	0
GRASS_MEDIUM_LUSH		0	1	0	0	0	0	0	0	0
GRASS_LONG_LUSH			0	0	0	0	0	0	0	1	0
GRASS_SHORT_DRY			0	1	0	0	0	0	0	0	0
GRASS_MEDIUM_DRY		0	1	0	0	0	0	0	0	0
GRASS_LONG_DRY			0	0	0	0	0	0	0	1	0
GOLFGRASS_ROUGH			0	1	0	0	0	0	0	0	0
GOLFGRASS_SMOOTH		0	1	0	0	0	0	0	0	0
STEEP_SLIDYGRASS		0	1	0	0	0	0	0	0	0
STEEP_CLIFF				1	0	0	0	0	0	0	0	0
FLOWERBED				0	1	0	0	0	0	0	0	0
MEADOW					0	1	0	0	0	0	0	0	0
WASTEGROUND				1	0	0	0	0	0	0	0	0
WOODLANDGROUND			1	0	0	0	0	0	0	0	0
VEGETATION				0	1	0	0	0	0	0	0	0
MUD_WET					0	0	0	0	0	0	0	0	0
MUD_DRY					0	0	0	1	0	0	0	0	0
DIRT					0	0	0	1	0	0	0	0	0
DIRTTRACK				0	0	0	1	0	0	0	0	0
SAND_DEEP				0	0	1	0	0	0	0	0	0
SAND_MEDIUM				0	0	1	0	0	0	0	0	0
SAND_COMPACT			0	0	1	0	0	0	0	0	0
SAND_ARID				0	0	1	0	0	0	0	0	0
SAND_MORE				0	0	1	0	0	0	0	0	0
SAND_BEACH				0	0	1	0	0	0	0	0	0
CONCRETE_BEACH			0	0	1	0	0	0	0	0	0
ROCK_DRY				1	0	0	0	0	0	0	0	0
ROCK_WET				1	0	0	0	0	0	0	0	0
ROCK_CLIFF				1	0	0	0	0	0	0	0	0
WATER_RIVERBED			0	0	0	0	0	1	0	0	0
WATER_SHALLOW			0	0	0	0	0	1	0	0	0
CORNFIELD				0	0	0	0	0	0	0	1	0
HEDGE					0	1	0	0	0	0	0	0	0
WOOD_CRATES				0	0	0	0	1	0	0	0	0
WOOD_SOLID				0	0	0	0	1	0	0	0	0
